Recall	Precision
0.0	0.9999999999999998
0.01	0.8333333333333334
0.02	0.8181818181818182
0.03	0.7692307692307693
0.04	0.6086956521739131
0.05	0.5333333333333333
0.06	0.5135135135135135
0.07	0.5
0.08	0.5
0.09	0.5
0.1	0.5
0.11	0.5
0.12	0.45454545454545453
0.13	0.45454545454545453
0.14	0.45454545454545453
0.15	0.44660194174757284
0.16	0.4424778761061947
0.17	0.432
0.18	0.4198473282442748
0.19	0.4084507042253521
0.2	0.4046242774566474
0.21	0.4046242774566474
0.22	0.4046242774566474
0.23	0.4046242774566474
0.24	0.39790575916230364
0.25	0.39790575916230364
0.26	0.38839285714285715
0.27	0.38839285714285715
0.28	0.38839285714285715
0.29	0.35826771653543305
0.3	0.3484848484848485
0.31	0.3253424657534247
0.32	0.29069767441860467
0.33	0.28370786516853935
0.34	0.25742574257425743
0.35000000000000003	0.2291220556745182
0.36	0.0
0.37	0.0
0.38	0.0
0.39	0.0
0.4	0.0
0.41000000000000003	0.0
0.42	0.0
0.43	0.0
0.44	0.0
0.45	0.0
0.46	0.0
0.47000000000000003	0.0
0.48	0.0
0.49	0.0
0.5	0.0
0.51	0.0
0.52	0.0
0.53	0.0
0.54	0.0
0.55	0.0
0.56	0.0
0.5700000000000001	0.0
0.58	0.0
0.59	0.0
0.6	0.0
0.61	0.0
0.62	0.0
0.63	0.0
0.64	0.0
0.65	0.0
0.66	0.0
0.67	0.0
0.68	0.0
0.6900000000000001	0.0
0.7000000000000001	0.0
0.71	0.0
0.72	0.0
0.73	0.0
0.74	0.0
0.75	0.0
0.76	0.0
0.77	0.0
0.78	0.0
0.79	0.0
0.8	0.0
0.81	0.0
0.8200000000000001	0.0
0.8300000000000001	0.0
0.84	0.0
0.85	0.0
0.86	0.0
0.87	0.0
0.88	0.0
0.89	0.0
0.9	0.0
0.91	0.0
0.92	0.0
0.93	0.0
0.9400000000000001	0.0
0.9500000000000001	0.0
0.96	0.0
0.97	0.0
0.98	0.0
0.99	0.0
1.0	0.0
