Recall	Precision
0.0	0.9999999999999998
0.01	0.8333333333333334
0.02	0.819672131147541
0.03	0.819672131147541
0.04	0.819672131147541
0.05	0.819672131147541
0.06	0.819672131147541
0.07	0.819672131147541
0.08	0.819672131147541
0.09	0.819672131147541
0.1	0.819672131147541
0.11	0.819672131147541
0.12	0.819672131147541
0.13	0.819672131147541
0.14	0.819672131147541
0.15	0.819672131147541
0.16	0.819672131147541
0.17	0.8108108108108109
0.18	0.8108108108108109
0.19	0.8108108108108109
0.2	0.8100558659217877
0.21	0.8100558659217877
0.22	0.8100558659217877
0.23	0.8100558659217877
0.24	0.8100558659217877
0.25	0.8100558659217877
0.26	0.8100558659217877
0.27	0.8100558659217877
0.28	0.8100558659217877
0.29	0.8100558659217877
0.3	0.8100558659217877
0.31	0.8100558659217877
0.32	0.8100558659217877
0.33	0.8100558659217877
0.34	0.8100558659217877
0.35000000000000003	0.8100558659217877
0.36	0.8100558659217877
0.37	0.8100558659217877
0.38	0.8100558659217877
0.39	0.8100558659217877
0.4	0.8100558659217877
0.41000000000000003	0.8100558659217877
0.42	0.8100558659217877
0.43	0.8100558659217877
0.44	0.8100558659217877
0.45	0.8100558659217877
0.46	0.8100558659217877
0.47000000000000003	0.8100558659217877
0.48	0.8042328042328042
0.49	0.8042328042328042
0.5	0.8010471204188482
0.51	0.7860696517412935
0.52	0.7843137254901961
0.53	0.7767441860465116
0.54	0.7767441860465116
0.55	0.771689497716895
0.56	0.7699115044247787
0.5700000000000001	0.7685589519650655
0.58	0.7659574468085106
0.59	0.7637130801687764
0.6	0.7630522088353414
0.61	0.7630522088353414
0.62	0.7630522088353414
0.63	0.76171875
0.64	0.7538461538461538
0.65	0.7509433962264151
0.66	0.7509293680297398
0.67	0.7490909090909091
0.68	0.7147435897435898
0.6900000000000001	0.7147435897435898
0.7000000000000001	0.7147435897435898
0.71	0.7147435897435898
0.72	0.7147435897435898
0.73	0.7133757961783439
0.74	0.7027863777089783
0.75	0.6978851963746223
0.76	0.6832844574780058
0.77	0.6801152737752162
0.78	0.6565934065934066
0.79	0.6455026455026455
0.8	0.6447368421052632
0.81	0.6408268733850129
0.8200000000000001	0.6338383838383839
0.8300000000000001	0.6240786240786241
0.84	0.6051401869158879
0.85	0.5931818181818181
0.86	0.567741935483871
0.87	0.5527950310559007
0.88	0.5335968379446641
0.89	0.0
0.9	0.0
0.91	0.0
0.92	0.0
0.93	0.0
0.9400000000000001	0.0
0.9500000000000001	0.0
0.96	0.0
0.97	0.0
0.98	0.0
0.99	0.0
1.0	0.0
