Recall	Precision
0.0	0.9999999999999998
0.01	0.8333333333333334
0.02	0.6666666666666666
0.03	0.6451612903225806
0.04	0.6451612903225806
0.05	0.6451612903225806
0.06	0.6451612903225806
0.07	0.6451612903225806
0.08	0.6451612903225806
0.09	0.6451612903225806
0.1	0.6451612903225806
0.11	0.6451612903225806
0.12	0.6451612903225806
0.13	0.6363636363636364
0.14	0.6301369863013698
0.15	0.5903614457831325
0.16	0.5882352941176471
0.17	0.5882352941176471
0.18	0.5882352941176471
0.19	0.5811965811965812
0.2	0.5811965811965812
0.21	0.5811965811965812
0.22	0.5714285714285714
0.23	0.5434782608695652
0.24	0.5421686746987951
0.25	0.5421686746987951
0.26	0.5421686746987951
0.27	0.5421686746987951
0.28	0.5393258426966292
0.29	0.5393258426966292
0.3	0.5359116022099447
0.31	0.5124378109452736
0.32	0.5123152709359606
0.33	0.5117370892018779
0.34	0.509009009009009
0.35000000000000003	0.5
0.36	0.4978902953586498
0.37	0.4940239043824701
0.38	0.4940239043824701
0.39	0.4846153846153846
0.4	0.4797047970479705
0.41000000000000003	0.4618055555555556
0.42	0.4473684210526316
0.43	0.445859872611465
0.44	0.43202416918429004
0.45	0.0
0.46	0.0
0.47000000000000003	0.0
0.48	0.0
0.49	0.0
0.5	0.0
0.51	0.0
0.52	0.0
0.53	0.0
0.54	0.0
0.55	0.0
0.56	0.0
0.5700000000000001	0.0
0.58	0.0
0.59	0.0
0.6	0.0
0.61	0.0
0.62	0.0
0.63	0.0
0.64	0.0
0.65	0.0
0.66	0.0
0.67	0.0
0.68	0.0
0.6900000000000001	0.0
0.7000000000000001	0.0
0.71	0.0
0.72	0.0
0.73	0.0
0.74	0.0
0.75	0.0
0.76	0.0
0.77	0.0
0.78	0.0
0.79	0.0
0.8	0.0
0.81	0.0
0.8200000000000001	0.0
0.8300000000000001	0.0
0.84	0.0
0.85	0.0
0.86	0.0
0.87	0.0
0.88	0.0
0.89	0.0
0.9	0.0
0.91	0.0
0.92	0.0
0.93	0.0
0.9400000000000001	0.0
0.9500000000000001	0.0
0.96	0.0
0.97	0.0
0.98	0.0
0.99	0.0
1.0	0.0
